"","l2fc","fg_exprs","bg_exprs"
"KRIT1",-0.777792604580359,1.73321948136606e-05,3.0430650409052e-05
"ANKIB1",-1.12202541275833,1.34407604254179e-05,3.0430650409052e-05
"GATAD1",-1.26647218409358,1.76608380249517e-05,4.38928584847493e-05
"AC007566.10",0.093369677210011,2.05402007056956e-07,1.29860528061388e-07
"ERVW-1",-0.268492157360562,2.61420736254307e-07,5.19442112245553e-07
"PEX1",-0.878401184143499,6.1135106464043e-06,1.20770291097091e-05
"RBM48",0.346884472116327,6.82308121623742e-06,5.1511342797684e-06
"FAM133B",-0.187219804791841,7.66000103044585e-05,8.73528485426272e-05
"CDK6",0.885463493711404,1.44416283870772e-05,7.35876325681201e-06
"AC002454.1",-0.0375481371197672,1.00833712555233e-07,1.29860528061388e-07
"SAMD9",1.23699738195647,3.59453512349672e-05,1.46742396709369e-05
"SAMD9L",1.37488384172783,4.86317261071941e-05,1.81371870859072e-05
"HEPACAM2",-2.5523340446597,5.60187291973515e-08,5.19442112245553e-06
"VPS50",-0.464907496677107,5.77739827122019e-06,8.35436063861598e-06
"CALCR",0.0725580203459277,9.70991306087427e-08,4.32868426871295e-08
"GNGT1",-2.47356073477403,3.7345819464901e-08,4.76155269558424e-06
"TFPI2",-6.57132899879637,1.15398582146544e-06,0.000203837742213693
"AC002076.10",-1.68477248603214,1.12037458394703e-08,2.25091581973073e-06
"GNG11",-3.85659024533738,5.22468014313965e-06,8.91708959354867e-05
"BET1",-1.51077218769399,2.65416738937052e-05,7.74834484099617e-05
"AC006378.2",0.037230491885315,2.61420736254307e-08,0
"AC003092.1",-1.91729390946509,7.84262208762922e-08,3.07336583078619e-06
"AC003092.2",-0.208992190632315,1.49383277859604e-08,1.73147370748518e-07
"COL1A2",-2.45205214237912,1.71417311343896e-06,1.38517896598814e-05
"CASD1",-1.33073403307368,5.57573084610972e-06,1.55399765246795e-05
"SGCE",-3.78834403268918,6.98366823993649e-07,2.24658713546202e-05
"PEG10",-4.67401382076435,8.55219265746234e-07,4.63602085179156e-05
"PPP1R9A",-4.29975609663503,3.95865686327951e-07,2.64915477245232e-05
"AC002429.5",-0.0773144517459684,2.98766555719208e-08,8.65736853742589e-08
"PON1",-1.16795332093832,3.7345819464901e-09,1.25531843792675e-06
"PON3",-5.52138911114796,1.97932843163975e-07,5.40219796735376e-05
"PON2",-3.13705831180946,1.65666055146301e-05,0.000153538431011248
"GS1-293C5.1",-0.282658299300972,0,2.16434213435647e-07
"AC004012.1",-0.603541712065133,0,5.19442112245553e-07
"ASB4",-1.23270545389692,1.49383277859604e-08,1.38517896598814e-06
"PDK4",-0.845971679397831,5.33074227041997e-05,9.66162328776729e-05
"AC002451.3",-0.348868433861094,2.95031973772718e-07,6.49302640306942e-07
"DYNC1I1",-1.52330903728439,1.00833712555233e-07,2.16434213435647e-06
"SLC25A13",-1.05838142968779,8.41774770738869e-06,1.86133423554657e-05
"SHFM1",-1.48581878061714,0.000180215986409826,0.000506542633124789
"DLX6-AS1",-0.37574990721324,7.0957056983312e-08,3.89581584184165e-07
